   position  x=  000? channel flow in the absence of hill(s)

y	U	u'2x100	V	v'2x100	u'v'x100
mm	m/s	m2/s2	m/s	m2/s2	m2/s2
1	1.274	3.28	0	0	0
2	1.392	3.22	0	0	0
4	1.521	2.99	0	0	0
7	1.622	2.75	0.008	0.693	-0.467
9       1.671   2.629   0.008   0.738   -0.531
11      1.706   2.385   0.006   0.669   -0.464
13      1.745   2.179   0.005   0.755   -0.389
16	1.778 	2.111	0.005	0.638	-0.387
21      1.831   1.861   0.007   0.607   -0.340
26	1.868	1.717	0.004	0.587	-0.298
31	1.908	1.542	0.004	0.563	-0.285
41	1.97	1.369	0.005	0.475	-0.279
51      2.03    1.114   0.029   0.383   -0.212
61	2.087	0.849	0.026	0.313	-0.133
71	2.124	0.682	0.001	0.248	-0.084
85	2.147	0.548	0.018	0.217	-0.005

y	W	w'2x100	
mm	m/s	m2/s2	
			
2	0.021	1.39	
4	0.022	1.30	
6	0.027	1.21	
8	0.029	1.14	
10	0.027	1.08	
12	0.023	1.04	
16	0.027 	0.98
20	0.025	0.92
24      0.021   0.88
28      0.019   0.83
32	0.023	0.79
40      0.022   0.71
48	0.013	0.62
56      0.016   0.53
64      0.012   0.43
72      0.014   0.34
80	0.016	0.27
85	0.016	0.26
