# Profile of u2_comp. at x/H=  .5 z/H= .0
#   y (mm)    u2_comp.(m2/s2)   24 points
  2.550E+01   8.952E+00
  2.600E+01   1.000E+01
  2.650E+01   1.216E+01
  2.700E+01   1.440E+01
  2.750E+01   1.921E+01
  2.775E+01   2.945E+01
  2.800E+01   4.247E+01
  2.900E+01   1.069E+02
  2.950E+01   1.122E+02
  3.000E+01   8.524E+01
  3.100E+01   4.250E+01
  3.200E+01   1.537E+01
  3.350E+01   4.466E+00
  3.500E+01   1.622E+00
  3.650E+01   9.760E-01
  3.800E+01   9.468E-01
  3.950E+01   1.030E+00
  4.100E+01   1.224E+00
  4.250E+01   1.434E+00
  4.400E+01   1.637E+00
  4.550E+01   1.948E+00
  4.700E+01   2.241E+00
  4.850E+01   2.609E+00
  4.950E+01   5.270E+00
