# Profile of uv_comp. at x/H=  .0 z/H=1.0
#   y (mm)    uv_comp.(m2/s2)   33 points
  5.000E-01  -3.361E+00
  1.000E+00  -6.671E+00
  1.500E+00  -9.183E+00
  2.000E+00  -8.823E+00
  3.000E+00  -5.714E+00
  4.000E+00  -2.900E+00
  5.000E+00  -1.809E+00
  6.000E+00  -1.292E+00
  7.000E+00  -9.256E-01
  8.000E+00  -7.490E-01
  1.000E+01  -5.587E-01
  1.200E+01  -4.787E-01
  1.400E+01  -4.121E-01
  1.600E+01  -3.507E-01
  1.800E+01  -2.963E-01
  2.000E+01  -2.348E-01
  2.200E+01  -1.671E-01
  2.400E+01  -1.288E-01
  2.500E+01  -8.117E-02
  2.600E+01  -5.083E-02
  2.800E+01   1.537E-02
  3.000E+01   6.107E-02
  3.200E+01   1.308E-01
  3.400E+01   2.088E-01
  3.600E+01   2.853E-01
  3.800E+01   3.519E-01
  4.000E+01   4.401E-01
  4.200E+01   5.307E-01
  4.400E+01   6.009E-01
  4.600E+01   7.309E-01
  4.800E+01   8.164E-01
  4.900E+01   8.160E-01
  4.950E+01   7.360E-01
