# Profile of u_m_vel. at x/H=  .0 z/H=1.0
#   y (mm)    u_m_vel.(m/s)     33 points
  5.000E-01   1.098E+01
  1.000E+00   1.233E+01
  1.500E+00   1.274E+01
  2.000E+00   1.393E+01
  3.000E+00   1.606E+01
  4.000E+00   1.788E+01
  5.000E+00   1.888E+01
  6.000E+00   1.941E+01
  7.000E+00   1.983E+01
  8.000E+00   2.017E+01
  1.000E+01   2.074E+01
  1.200E+01   2.114E+01
  1.400E+01   2.148E+01
  1.600E+01   2.180E+01
  1.800E+01   2.213E+01
  2.000E+01   2.237E+01
  2.200E+01   2.265E+01
  2.400E+01   2.283E+01
  2.500E+01   2.295E+01
  2.600E+01   2.301E+01
  2.800E+01   2.301E+01
  3.000E+01   2.299E+01
  3.200E+01   2.279E+01
  3.400E+01   2.255E+01
  3.600E+01   2.221E+01
  3.800E+01   2.187E+01
  4.000E+01   2.138E+01
  4.200E+01   2.086E+01
  4.400E+01   2.019E+01
  4.600E+01   1.916E+01
  4.800E+01   1.779E+01
  4.900E+01   1.624E+01
  4.950E+01   1.380E+01
