# Profile of v_m_vel. at x/H=  .0 z/H=1.0
#   y (mm)    v_m_vel.(m/s)     33 points
  5.000E-01   2.977E-01
  1.000E+00   7.940E-01
  1.500E+00   1.390E+00
  2.000E+00   1.429E+00
  3.000E+00   1.906E+00
  4.000E+00   1.906E+00
  5.000E+00   1.588E+00
  6.000E+00   1.231E+00
  7.000E+00   9.329E-01
  8.000E+00   7.543E-01
  1.000E+01   6.550E-01
  1.200E+01   7.940E-01
  1.400E+01   1.052E+00
  1.600E+01   1.390E+00
  1.800E+01   1.727E+00
  2.000E+01   2.045E+00
  2.200E+01   2.303E+00
  2.400E+01   2.481E+00
  2.500E+01   2.541E+00
  2.600E+01   2.580E+00
  2.800E+01   2.600E+00
  3.000E+01   2.501E+00
  3.200E+01   2.362E+00
  3.400E+01   2.164E+00
  3.600E+01   1.945E+00
  3.800E+01   1.727E+00
  4.000E+01   1.469E+00
  4.200E+01   1.251E+00
  4.400E+01   1.012E+00
  4.600E+01   7.543E-01
  4.800E+01   5.161E-01
  4.900E+01   3.573E-01
  4.950E+01   2.779E-01
