# Profile of v_m_vel. at x/H=  .5 z/H= .0
#   y (mm)    v_m_vel.(m/s)     24 points
  2.550E+01  -1.786E-01
  2.600E+01   2.382E-01
  2.650E+01   3.970E-01
  2.700E+01   6.550E-01
  2.750E+01   7.742E-01
  2.775E+01   9.329E-01
  2.800E+01   4.169E-01
  2.900E+01   1.588E-01
  2.950E+01   7.940E-02
  3.000E+01   3.771E-01
  3.100E+01   2.164E+00
  3.200E+01   4.168E+00
  3.350E+01   5.677E+00
  3.500E+01   5.161E+00
  3.650E+01   4.347E+00
  3.800E+01   3.652E+00
  3.950E+01   3.097E+00
  4.100E+01   2.640E+00
  4.250E+01   2.203E+00
  4.400E+01   1.806E+00
  4.550E+01   1.449E+00
  4.700E+01   1.052E+00
  4.850E+01   6.749E-01
  4.950E+01   3.573E-01
