# Profile of w_m_vel. at x/H=  .5 z/H=1.0
#   y (mm)    w_m_vel.(m/s)     21 points
  2.500E+00   5.856E+00
  3.750E+00   2.759E+00
  5.000E+00   2.243E+00
  6.250E+00   1.667E+00
  7.500E+00   1.906E+00
  1.000E+01   2.402E+00
  1.250E+01   2.700E+00
  1.500E+01   2.719E+00
  1.750E+01   2.640E+00
  2.000E+01   2.402E+00
  2.250E+01   2.045E+00
  2.500E+01   1.826E+00
  2.750E+01   1.548E+00
  3.000E+01   1.449E+00
  3.250E+01   1.370E+00
  3.500E+01   1.350E+00
  3.750E+01   1.191E+00
  4.000E+01   1.131E+00
  4.250E+01   1.171E+00
  4.500E+01   1.151E+00
  4.750E+01   1.330E+00
