#  r      U      u'     V      v'      uv
#ROBACK/JOHNSON TABLE IV-11
-46.7  0.991  0.372  0.759  0.386  0.01336
-41.6  1.175  0.435  0.767  0.348 -0.02068
-36.5  1.039  0.534  0.456  0.388 -0.02350
-31.4  0.305  0.576  0.195  0.337 -0.04893
-26.4 -0.172  0.340  0.075  0.286 -0.01971
-21.3 -0.266  0.216  0.055  0.196 -0.00247
-16.2 -0.196  0.242  0.077  0.188  0.00088
-11.1 -0.174  0.255  0.075  0.189  0.00095
 -6.0 -0.113  0.270  0.043  0.196 -0.00310
 -1.0 -0.099  0.284  0.021  0.201 -0.00205
  0.4 -0.076  0.269 -0.019  0.206  0.00083
  4.4 -0.119  0.271  0.053  0.200  0.00262
  9.5 -0.187  0.269  0.060  0.178  0.00022
 14.5 -0.252  0.238  0.068  0.173  0.00528
 19.6 -0.277  0.237  0.057  0.204 -0.00379
 24.7 -0.181  0.359  0.095  0.297 -0.02761
 29.8  0.297  0.565  0.177  0.360 -0.06191
 34.9  0.857  0.552  0.430  0.346 -0.05634
 39.9  1.162  0.446  0.630  0.352 -0.03610
 45.0  1.052  0.363  0.724  0.392 -0.01005
 50.1  0.710  0.386  0.540  0.436  0.02400
 52.6  0.552  0.582  0.435  0.479  0.04696


#ROBACK/JOHNSON TABLE IV-17
-58.7 -0.645  0.352  0.384  0.390  0.0231
-55.3 -0.208  0.428  0.334  0.337  0.0084
-51.9  0.358  0.460  0.383  0.345 -0.0073
-48.6  0.766  0.413  0.386  0.313 -0.0022
-45.2  1.073  0.409  0.405  0.288  0.0011
-41.8  1.257  0.436  0.407  0.299  0.0017
-38.4  1.222  0.497  0.420  0.320  0.0075
-38.4  1.365  0.405  0.436  0.345  0.0178
-38.4  1.228  0.541  0.405  0.346  0.0122
-35.0  1.031  0.594  0.381  0.369  0.0148
-31.6  0.575  0.677  0.270  0.411  0.0455
-28.2  0.037  0.482  0.169  0.347  0.0252
-24.8 -0.275  0.362  0.113  0.273  0.0120
-21.5 -0.306  0.232  0.084  0.207  0.0039
-18.1 -0.299  0.230  0.052  0.186  0.0019
-14.7 -0.320  0.213  0.000  0.126  0.0003
-14.7 -0.241  0.224 -0.001  0.146  0.0004
-11.3 -0.288  0.226 -0.021  0.162  0.0042
 -7.9 -0.283  0.225 -0.018  0.156 -0.0029
 -4.5 -0.255  0.245 -0.044  0.184  0.0020
  0.0 -0.211  0.250  0.064  0.192  0.0001
 14.7 -0.307  0.276  0.066  0.136  0.0012
 24.8 -0.115  0.430  0.136  0.303 -0.0032
 31.6  0.707  0.610  0.300  0.425  0.0197
 38.4  1.300  0.425  0.469  0.290  0.0072
 41.8  1.320  0.338  0.441  0.272  0.0016
 45.2  1.107  0.368  0.380  0.295 -0.0074
 48.6  0.760  0.371  0.170  0.306  0.0015
 51.9  0.295  0.469  0.333  0.327 -0.0157
 55.3 -0.205  0.487  0.312  0.385  0.0105
