x/H=6.0					
	y/H	U/Uc	u2/Uc2	v2/Uc2	-uv/Uc2
	-1				
	-0.92	0.047	0.0052	0.0022	0.0009
	-0.85	0.094	0.0113	0.0065	0.003
	-0.77	0.124	0.0145	0.009	0.005
	-0.69	0.154	0.017	0.0112	0.0068
	-0.62	0.188	0.0187	0.0126	0.0079
	-0.54	0.227	0.0208	0.0135	0.0091
	-0.46	0.271	0.0225	0.0141	0.0102
	-0.38	0.322	0.0237	0.014	0.0107
	-0.31	0.376	0.0247	0.014	0.0107
	-0.23	0.434	0.026	0.0135	0.0104
	-0.15	0.494	0.026	0.0128	0.01
	-0.08	0.553	0.024	0.0117	0.0085
	0	0.609	0.0213	0.0097	0.0075
	0.08	0.66	0.0196	0.008	0.0068
	0.15	0.709	0.0157	0.007	0.0054
	0.23	0.753	0.0119	0.0055	0.0037
	0.31	0.793	0.009	0.0045	0.0027
	0.38	0.826	0.0064	0.0039	0.002
	0.46	0.853	0.0046	0.0032	0.0014
	0.54	0.872	0.0029	0.0025	0.0006
	0.62	0.884	0.0024	0.0022	0.0004
	0.69	0.892	0.002	0.0019	0.0003
	0.77	0.897	0.0019	0.0016	0.0001
	0.85	0.897	0.0019	0.0015	0
	0.92	0.892	0.002	0.0014	-0.0001
	1	0.883	0.0023	0.0015	-0.0003
	1.08	0.871	0.0025	0.0016	-0.0004
	1.15	0.857	0.0027	0.0017	-0.0005
	1.23	0.839	0.003	0.0017	-0.0006
	1.31	0.818	0.0034	0.0018	-0.0007
	1.38	0.793	0.0037	0.002	-0.0008
	1.46	0.766	0.0041	0.0021	-0.0009
	1.54	0.734	0.0047	0.0023	-0.0011
	1.62	0.694	0.0058	0.0025	-0.0012
	1.69	0.648	0.0074	0.0029	-0.0006
	1.77	0.583	0.0085	0.0034	-0.0003
	1.85	0.491			
	1.92	0.402			
	2				
