x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-203.000 	0.000 	340.000 	34.503 		-0.808 	3.056 		1.864 		-2.240 	-6.281 		1.249 		2.394 		-1.188 
-203.000 	0.000 	341.000 	35.628 		-0.835 	2.895 		1.855 		-2.208 	-4.950 		1.468 		2.163 		-1.295 
-203.000 	0.000 	343.000 	37.359 		-0.918 	2.649 		1.768 		-1.968 	-6.023 		1.519 		2.464 		-1.694 
-203.000 	0.000 	348.000 	40.604 		-1.081 	2.089 		1.467 		-1.254 	-5.838 		1.593 		2.183 		-1.649 
-203.000 	0.000 	353.000 	42.828 		-1.218 	1.326 		1.016 		-0.454 	-3.168 		1.017 		1.100 		-0.978 
-203.000 	0.000 	358.000 	43.648 		-1.305 	0.625 		0.579 		-0.050 	-0.410 		0.267 		0.170 		-0.155 
-203.000 	0.000 	363.000 	43.689 		-1.396 	0.450 		0.346 		0.015 	-0.084 		0.020 		0.005 		-0.003 
-203.000 	0.000 	368.000 	43.622 		-1.469 	0.436 		0.308 		0.017 	-0.088 		0.008 		-0.003 		-0.001 
-203.000 	0.000 	373.000 	43.568 		-1.513 	0.430 		0.293 		0.016 	-0.083 		0.005 		-0.002 		0.000 
-203.000 	0.000 	388.000 	43.404 		-1.592 	0.428 		0.291 		0.019 	-0.083 		0.007 		-0.002 		0.000 
