x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
88.000	0.000	28.000	41.859	0.534	1.780	3.513	3.110	3.611	1.040	3.030	-72.500	-2.760	-42.900	-36.500	-38.100	-29.800	-39.900
88.000	0.000	38.000	35.830	0.458	2.516	7.090	5.256	5.891	-0.099	22.000	-512.000	2.110	-216.000	-1.050	-259.000	-119.000	-214.000
88.000	0.000	48.000	22.660	0.528	2.894	9.884	8.209	8.846	0.009	42.600	-727.000	-6.290	-392.000	-8.420	-329.000	-199.000	-320.000
88.000	0.000	58.000	7.745	0.164	0.451	12.128	9.378	11.005	1.260	44.700	-605.000	23.200	-125.000	-16.400	-127.000	-137.000	-158.000
88.000	0.000	68.000	-5.808	-0.594	-2.283	11.281	8.914	10.965	1.480	22.800	667.000	-51.500	247.000	5.670	281.000	44.700	204.000
88.000	0.000	78.000	-12.650	-0.997	-3.577	8.519	7.905	9.542	0.677	3.840	372.000	-20.900	263.000	-1.160	106.000	121.000	176.000
88.000	0.000	88.000	-14.748	-0.890	-3.875	7.353	6.817	8.343	0.275	-5.910	135.000	-10.300	191.000	3.150	6.340	52.600	56.000
88.000	0.000	98.000	-13.756	-0.902	-3.760	7.483	6.216	7.412	0.853	-11.200	45.700	-14.100	140.000	6.940	-19.200	14.200	-12.300
88.000	0.000	108.000	-10.659	-0.826	-3.711	7.770	6.075	6.766	3.120	-16.000	-82.600	-7.700	161.000	6.850	24.600	-10.800	-80.300
88.000	0.000	118.000	-6.484	-0.780	-3.606	7.724	6.002	6.166	2.520	-17.000	-271.000	-5.040	163.000	9.780	91.800	-41.200	-118.000
88.000	0.000	128.000	-2.121	-0.556	-4.135	6.714	5.840	5.478	3.350	-11.900	-346.000	-11.200	132.000	-2.570	129.000	-50.900	-106.000
88.000	0.000	138.000	1.303	-0.238	-4.613	5.391	5.436	4.899	3.230	-5.900	-228.000	-2.080	87.200	-19.200	90.200	-66.500	-72.800
88.000	0.000	148.000	3.672	0.109	-5.132	4.094	4.930	4.465	1.680	-1.790	-84.600	-9.290	16.600	-22.300	30.500	-55.500	-24.300
88.000	0.000	158.000	5.441	0.260	-5.834	3.520	4.434	4.728	1.090	-1.630	-22.600	-1.040	-31.900	-19.400	3.670	-29.800	-2.060
88.000	0.000	168.000	7.066	0.258	-7.041	3.556	4.398	5.167	0.606	-2.660	2.950	-13.200	-71.900	-4.620	-14.700	-10.800	14.000
88.000	0.000	178.000	9.157	0.279	-8.633	3.917	4.812	5.691	0.065	-5.800	19.000	-11.200	-85.000	-2.710	-24.500	-2.990	24.100
88.000	0.000	188.000	11.613	0.471	-10.270	4.394	5.343	6.075	0.157	-8.230	31.300	-4.330	-68.800	-0.707	-29.000	6.730	23.500
88.000	0.000	198.000	14.620	0.460	-11.759	4.902	5.897	6.299	-0.742	-10.400	36.400	3.810	-41.300	-3.380	-24.500	16.800	25.300
88.000	0.000	208.000	17.662	0.472	-12.775	5.380	6.161	6.464	-0.157	-11.900	40.400	-5.060	-19.700	-4.320	-21.500	18.600	15.400
88.000	0.000	218.000	20.639	0.366	-13.515	5.716	6.453	6.742	-0.812	-12.600	22.900	-2.060	-0.094	2.940	-7.880	16.400	3.950
88.000	0.000	228.000	23.565	0.440	-14.088	5.981	6.412	7.024	-0.096	-14.500	0.148	-2.680	54.400	-3.260	-1.570	-6.120	-5.530
88.000	0.000	238.000	26.437	0.518	-14.793	6.165	6.006	7.021	0.131	-17.000	-60.200	2.350	150.000	1.260	29.200	-32.600	-50.600
88.000	0.000	248.000	29.484	0.567	-15.565	6.265	5.413	6.714	0.025	-17.300	-149.000	3.730	239.000	-1.520	77.800	-58.800	-111.000
88.000	0.000	258.000	32.441	0.654	-16.130	5.680	4.400	5.880	0.018	-14.000	-196.000	-3.150	238.000	1.770	103.000	-62.000	-136.000
88.000	0.000	268.000	35.024	0.700	-16.388	4.687	3.273	5.080	-0.156	-8.240	-173.000	3.380	210.000	3.320	88.400	-37.300	-117.000
88.000	0.000	278.000	36.938	0.686	-16.394	3.276	2.160	3.694	-0.070	-2.670	-84.100	4.030	101.000	1.080	38.300	-10.700	-52.700
88.000	0.000	288.000	37.938	0.614	-15.962	2.160	1.365	2.599	0.085	-0.369	-22.900	0.394	37.600	0.484	11.900	-2.060	-15.200
88.000	0.000	298.000	38.377	0.651	-15.242	1.376	0.733	1.733	0.023	0.083	-1.390	0.284	12.500	0.250	2.950	-0.021	-2.290
88.000	0.000	308.000	38.595	0.724	-14.447	0.905	0.451	1.097	-0.002	0.159	1.170	0.150	2.970	0.006	0.667	0.034	1.220
88.000	0.000	318.000	38.728	0.745	-13.679	0.654	0.330	0.734	0.009	0.035	0.424	-0.020	0.260	-0.019	0.106	0.011	0.124
88.000	0.000	328.000	38.856	0.700	-12.962	0.536	0.302	0.550	0.014	0.024	0.229	-0.017	0.238	-0.024	0.097	-0.011	0.081
88.000	0.000	338.000	38.976	0.637	-12.255	0.454	0.298	0.441	0.011	0.005	0.041	-0.015	0.049	-0.019	0.012	-0.009	0.011
88.000	0.000	348.000	39.133	0.544	-11.553	0.413	0.294	0.354	0.009	-0.001	0.004	-0.015	0.006	-0.018	0.008	-0.008	0.002
88.000	0.000	368.000	39.438	0.436	-10.229	0.376	0.292	0.301	0.009	-0.007	-0.025	-0.012	0.007	-0.020	0.008	-0.008	-0.003
88.000	0.000	388.000	39.749	0.481	-9.016	0.349	0.290	0.259	0.012	-0.009	-0.023	-0.014	0.008	-0.025	0.007	-0.011	-0.003
88.000	0.000	408.000	39.975	0.460	-8.050	0.330	0.285	0.268	0.010	-0.009	-0.026	-0.016	0.007	-0.023	0.007	-0.010	-0.004
88.000	0.000	428.000	40.129	0.442	-7.280	0.322	0.283	0.232	0.008	-0.008	-0.022	-0.016	0.005	-0.021	0.007	-0.009	-0.004
88.000	0.000	458.000	40.344	0.533	-6.203	0.319	0.287	0.248	0.011	-0.008	-0.019	-0.020	0.007	-0.027	0.007	-0.011	-0.004
88.000	0.000	488.000	40.499	0.666	-5.254	0.322	0.285	0.228	0.011	-0.007	-0.014	-0.021	0.007	-0.026	0.006	-0.010	-0.004
88.000	0.000	518.000	40.649	0.489	-4.433	0.332	0.289	0.256	0.011	-0.008	-0.014	-0.020	0.011	-0.027	0.005	-0.010	-0.004
88.000	0.000	558.000	40.783	0.286	-3.595	0.343	0.296	0.265	0.012	-0.009	-0.018	-0.025	0.009	-0.027	0.007	-0.013	-0.005
88.000	0.000	598.000	40.853	0.291	-3.010	0.342	0.292	0.244	0.005	-0.008	-0.013	-0.023	0.010	-0.032	0.006	-0.010	-0.003
88.000	0.000	638.000	40.927	0.271	-2.546	0.348	0.285	0.259	0.003	-0.008	-0.009	-0.021	0.011	-0.036	0.007	-0.006	-0.004
88.000	0.000	688.000	40.945	0.409	-2.008	0.344	0.280	0.270	-0.002	-0.007	-0.015	-0.017	0.009	-0.035	0.008	-0.005	-0.004
88.000	0.000	738.000	40.960	0.429	-1.608	0.349	0.268	0.261	-0.002	-0.005	-0.014	-0.010	0.007	-0.040	0.007	-0.005	-0.002
