x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-183.000 	0.000 	329.600 	-9.080 		5.836 	6.138 		5.062 		-18.140 	315.626 		-159.637 		-168.952 		132.600 
-183.000 	0.000 	330.600 	-7.259 		4.741 	8.017 		7.033 		-32.575 	680.147 		-388.450 		-391.428 		328.881 
-183.000 	0.000 	331.600 	-1.789 		2.362 	11.118 		9.253 		-67.396 	1125.566 		-535.524 		-640.790 		496.372 
-183.000 	0.000 	332.600 	6.961 		-1.305 	13.088 		10.397 		-92.289 	353.164 		-181.131 		-218.355 		158.745 
-183.000 	0.000 	333.600 	16.131 		-4.292 	13.899 		10.449 		-98.048 	-622.969 		267.617 		306.802 		-316.352 
-183.000 	0.000 	334.600 	25.767 		-6.362 	12.880 		9.110 		-78.698 	-1311.631 		433.486 		629.895 		-516.993 
-183.000 	0.000 	335.600 	36.816 		-7.292 	10.739 		7.284 		-51.461 	-1406.659 		448.318 		683.602 		-538.121 
-183.000 	0.000 	336.600 	44.050 		-7.317 	7.443 		5.399 		-26.321 	-829.931 		265.624 		404.670 		-299.968 
-183.000 	0.000 	337.600 	47.523 		-7.159 	4.719 		4.121 		-11.900 	-269.612 		142.029 		164.760 		-132.073 
-183.000 	0.000 	338.600 	48.883 		-6.989 	3.303 		3.302 		-5.844 	-72.614 		60.907 		49.673 		-41.296 
-183.000 	0.000 	339.600 	49.585 		-6.992 	2.665 		2.898 		-3.948 	-20.299 		28.885 		15.529 		-14.022 
-183.000 	0.000 	340.600 	49.945 		-6.962 	2.332 		2.584 		-2.954 	-9.222 		10.385 		6.153 		-4.671 
-183.000 	0.000 	341.600 	50.147 		-6.878 	2.156 		2.405 		-2.634 	-6.290 		7.032 		3.926 		-3.640 
-183.000 	0.000 	342.600 	50.415 		-6.802 	1.978 		2.203 		-2.223 	-4.675 		4.105 		2.840 		-2.911 
-183.000 	0.000 	343.600 	50.589 		-6.691 	1.894 		2.121 		-2.174 	-4.743 		3.230 		2.528 		-2.664 
-183.000 	0.000 	344.600 	50.725 		-6.695 	1.803 		2.031 		-1.903 	-3.976 		2.997 		1.958 		-2.396 
-183.000 	0.000 	345.600 	50.824 		-6.660 	1.763 		1.953 		-1.840 	-3.924 		2.027 		1.896 		-1.559 
-183.000 	0.000 	346.000 	50.996 		-6.662 	1.713 		1.843 		-1.754 	-3.971 		1.226 		1.814 		-1.308 
-183.000 	0.000 	348.000 	51.498 		-6.695 	1.344 		1.599 		-1.203 	-2.678 		0.870 		1.310 		-1.046 
-183.000 	0.000 	353.000 	51.570 		-6.628 	0.689 		1.168 		-0.492 	-0.156 		0.000 		0.132 		-0.105 
-183.000 	0.000 	358.000 	50.975 		-6.565 	0.531 		0.925 		-0.289 	-0.025 		-0.088 		0.010 		0.003 
-183.000 	0.000 	363.000 	50.416 		-6.465 	0.456 		0.796 		-0.191 	-0.038 		-0.022 		0.025 		-0.021 
-183.000 	0.000 	373.000 	49.400 		-6.243 	0.415 		0.617 		-0.104 	-0.012 		-0.005 		0.011 		-0.009 
-183.000 	0.000 	388.000 	48.226 		-5.838 	0.357 		0.455 		-0.040 	-0.028 		0.002 		0.010 		-0.004 
																	
																	
																	
																	
																	
																	
																	
																	
																	
