x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-143.000 	0.000 	312.000 	-2.249 		1.707 	1.257 		0.990 		-0.740 	-0.834 		0.595 		0.554 		-0.554 
-143.000 	0.000 	313.000 	-2.427 		1.819 	1.246 		1.060 		-0.494 	-0.498 		0.342 		0.159 		-0.363 
-143.000 	0.000 	315.000 	-2.517 		1.913 	1.327 		1.124 		-0.409 	-0.832 		0.498 		0.161 		-0.416 
-143.000 	0.000 	317.000 	-2.506 		1.873 	1.351 		1.149 		-0.271 	-0.733 		0.330 		0.101 		-0.465 
-143.000 	0.000 	319.000 	-2.516 		1.889 	1.405 		1.164 		-0.207 	-1.267 		0.537 		0.217 		-0.361 
-143.000 	0.000 	321.000 	-2.558 		1.890 	1.443 		1.170 		-0.132 	-1.472 		0.291 		-0.025 		-0.323 
-143.000 	0.000 	323.000 	-2.594 		1.879 	1.521 		1.224 		-0.122 	-1.528 		0.419 		0.094 		-0.436 
-143.000 	0.000 	325.000 	-2.537 		1.852 	1.728 		1.470 		-0.194 	-2.248 		-2.186 		-0.272 		-0.244 
-143.000 	0.000 	327.000 	-2.122 		1.765 	2.379 		2.218 		-1.086 	7.943 		-14.588 		-7.265 		4.897 
-143.000 	0.000 	329.000 	0.918 		0.734 	4.257 		3.832 		-6.944 	61.099 		-56.029 		-36.988 		33.526 
-143.000 	0.000 	333.000 	13.587 		-1.743 	6.122 		5.322 		-17.778 	38.245 		-23.058 		-13.388 		10.656 
-143.000 	0.000 	338.000 	32.918 		-2.325 	4.645 		3.429 		-7.331 	-75.713 		35.228 		38.829 		-30.542 
-143.000 	0.000 	343.000 	38.732 		-2.372 	2.517 		1.812 		-1.707 	-5.090 		1.632 		1.903 		-1.315 
-143.000 	0.000 	353.000 	43.340 		-2.506 	1.388 		1.030 		-0.492 	-3.364 		0.963 		1.129 		-0.950 
-143.000 	0.000 	363.000 	44.241 		-2.530 	0.469 		0.417 		0.003 	-0.085 		0.065 		0.006 		-0.003 
-143.000 	0.000 	373.000 	44.055 		-2.536 	0.422 		0.337 		0.008 	-0.069 		0.021 		-0.004 		-0.001 
-143.000 	0.000 	388.000 	43.782 		-2.488 	0.411 		0.322 		0.010 	-0.075 		0.016 		-0.003 		-0.001 
