x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-83.000 	0.000 	270.000 	-0.780 		0.323 	2.704 		2.126 		-3.118 	-6.477 		1.786 		4.346 		-3.969 
-83.000 	0.000 	272.000 	-1.099 		0.257 	2.740 		2.217 		-2.087 	-2.753 		1.290 		2.924 		-4.047 
-83.000 	0.000 	274.000 	-1.409 		0.401 	2.797 		2.359 		-1.571 	-2.894 		0.461 		2.691 		-4.067 
-83.000 	0.000 	276.000 	-1.688 		0.374 	2.773 		2.358 		-0.963 	-2.004 		0.696 		2.355 		-3.388 
-83.000 	0.000 	278.000 	-2.131 		0.434 	2.805 		2.351 		-0.675 	-0.629 		1.218 		2.528 		-3.929 
-83.000 	0.000 	280.000 	-2.269 		0.405 	2.848 		2.321 		-0.251 	0.414 		1.476 		2.479 		-3.458 
-83.000 	0.000 	282.000 	-2.615 		0.507 	2.853 		2.356 		-0.319 	-0.304 		0.547 		1.739 		-3.434 
-83.000 	0.000 	284.000 	-2.864 		0.645 	2.877 		2.326 		0.144 	-0.357 		0.862 		1.394 		-2.210 
-83.000 	0.000 	286.000 	-3.074 		0.738 	2.874 		2.301 		0.194 	1.328 		1.195 		0.333 		-2.547 
-83.000 	0.000 	288.000 	-3.310 		0.930 	2.915 		2.268 		0.308 	2.073 		-0.387 		0.986 		-2.652 
-83.000 	0.000 	290.000 	-3.471 		1.083 	2.857 		2.276 		0.242 	0.243 		0.090 		0.448 		-2.087 
-83.000 	0.000 	293.000 	-3.836 		1.242 	2.847 		2.255 		0.107 	0.051 		-0.997 		0.300 		-0.936 
-83.000 	0.000 	298.000 	-4.077 		1.624 	2.900 		2.177 		-0.044 	-0.583 		-0.890 		0.341 		-1.420 
-83.000 	0.000 	300.000 	-4.184 		1.741 	2.917 		2.247 		-0.257 	-1.437 		-1.146 		-0.720 		-1.059 
-83.000 	0.000 	303.000 	-4.199 		1.881 	2.908 		2.255 		-0.460 	-1.797 		-2.550 		-0.153 		0.129 
-83.000 	0.000 	308.000 	-3.868 		2.104 	3.199 		2.422 		-1.079 	1.346 		-5.399 		-3.709 		1.691 
-83.000 	0.000 	313.000 	-2.194 		1.733 	4.041 		3.336 		-4.205 	27.455 		-32.524 		-19.194 		18.369 
-83.000 	0.000 	323.000 	9.625 		-1.419 	6.173 		5.656 		-17.510 	17.673 		-45.314 		-12.239 		11.243 
-83.000 	0.000 	333.000 	27.836 		-3.429 	6.521 		5.261 		-17.678 	-114.682 		71.307 		63.022 		-61.364 
-83.000 	0.000 	343.000 	40.936 		-3.658 	2.493 		2.192 		-1.851 	-17.141 		11.252 		8.356 		-6.584 
-83.000 	0.000 	353.000 	43.993 		-3.760 	0.982 		0.952 		-0.186 	-1.031 		0.588 		0.389 		-0.361 
-83.000 	0.000 	363.000 	44.219 		-3.753 	0.487 		0.470 		-0.003 	-0.071 		0.038 		0.005 		-0.004 
-83.000 	0.000 	373.000 	44.021 		-3.650 	0.429 		0.382 		0.005 	-0.078 		0.019 		-0.001 		0.000 
-83.000 	0.000 	388.000 	43.775 		-3.417 	0.417 		0.350 		0.007 	-0.088 		0.014 		-0.003 		-0.003 
