# Residuals  
# Time       	p            	Ux           	Uy           	Uz           
1            	1.000000e+00	2.946690e-02	4.091110e-02	2.987760e-02
2            	3.747520e-02	1.473620e-02	1.503270e-02	1.152270e-02
3            	2.101490e-02	9.429660e-03	9.431100e-03	6.881810e-03
4            	1.878340e-02	7.308770e-03	7.103780e-03	4.991720e-03
5            	1.255110e-02	6.460470e-03	6.542580e-03	4.462360e-03
6            	9.872560e-03	5.588560e-03	5.981800e-03	3.847810e-03
7            	7.600920e-03	5.042240e-03	5.579110e-03	3.536880e-03
8            	6.139880e-03	4.701140e-03	5.525930e-03	3.387630e-03
9            	5.194670e-03	4.408660e-03	5.465100e-03	3.265070e-03
10           	4.746930e-03	4.202800e-03	5.405010e-03	3.207160e-03
11           	4.677620e-03	4.044410e-03	5.373980e-03	3.165420e-03
12           	4.630550e-03	3.921910e-03	5.384290e-03	3.136110e-03
13           	4.781700e-03	3.825270e-03	5.413620e-03	3.134130e-03
14           	4.675370e-03	3.729350e-03	5.459020e-03	3.127690e-03
15           	4.650770e-03	3.643260e-03	5.493020e-03	3.131540e-03
16           	4.652970e-03	3.557630e-03	5.545250e-03	3.131990e-03
17           	4.475530e-03	3.479580e-03	5.567970e-03	3.132770e-03
18           	4.272320e-03	3.371810e-03	5.586420e-03	3.117080e-03
19           	4.206390e-03	3.290280e-03	5.619180e-03	3.123280e-03
20           	3.926330e-03	3.202440e-03	5.621910e-03	3.112500e-03
21           	3.824850e-03	3.110770e-03	5.617440e-03	3.091290e-03
22           	3.768040e-03	3.035850e-03	5.603910e-03	3.072750e-03
23           	3.740540e-03	2.962360e-03	5.609270e-03	3.066070e-03
24           	3.732390e-03	2.901500e-03	5.602030e-03	3.040980e-03
25           	3.750910e-03	2.848200e-03	5.607550e-03	3.053730e-03
26           	3.815770e-03	2.787100e-03	5.630970e-03	3.047280e-03
27           	4.151130e-03	2.732980e-03	5.649000e-03	3.050700e-03
28           	4.348070e-03	2.689830e-03	5.669760e-03	3.055330e-03
29           	4.230430e-03	2.643440e-03	5.686000e-03	3.066180e-03
30           	4.388060e-03	2.606400e-03	5.719420e-03	3.079930e-03
31           	4.449460e-03	2.585080e-03	5.758700e-03	3.107860e-03
32           	4.479900e-03	2.550880e-03	5.776530e-03	3.118040e-03
33           	4.388770e-03	2.539690e-03	5.837300e-03	3.167320e-03
34           	4.418310e-03	2.508950e-03	5.861720e-03	3.188110e-03
35           	4.297760e-03	2.489810e-03	5.934150e-03	3.235140e-03
36           	4.142400e-03	2.456520e-03	5.948540e-03	3.245530e-03
