# y+ ()      
# Time       	patch        	min          	max          	average      
0            	celling	8.606033e-03	2.842992e+01	6.680892e+00
0            	floor	1.405942e-01	3.387747e+01	3.671468e+00
0            	side	1.901917e-03	4.683362e+01	3.589908e+00
0            	body	1.295221e-01	6.845748e+00	7.369924e-01
0            	head	2.409865e-01	1.671636e+00	5.378116e-01
0            	leg	1.283356e-01	8.836626e-01	2.880928e-01
0            	slant	9.556977e-02	3.047555e+00	7.649268e-01
500          	celling	1.418742e+00	7.288129e+01	4.606682e+01
500          	floor	3.104300e+00	3.306715e+03	2.408490e+02
500          	side	4.131045e-01	4.735267e+03	9.534720e+01
500          	body	4.730982e+00	4.443772e+02	8.866427e+01
500          	head	1.372827e+00	1.116518e+02	5.790529e+01
500          	leg	2.055119e+00	1.259249e+02	2.956583e+01
500          	slant	6.956920e+00	4.616537e+02	6.828273e+01
1000         	celling	1.904261e+00	7.251900e+01	4.398532e+01
1000         	floor	3.102699e+00	3.097156e+03	2.270914e+02
1000         	side	1.626456e-01	1.089297e+03	2.941018e+01
1000         	body	3.899073e+00	4.434435e+02	8.715372e+01
1000         	head	1.428233e+00	1.116149e+02	5.789357e+01
1000         	leg	2.052223e+00	1.305996e+02	2.931732e+01
1000         	slant	5.881826e+00	3.942624e+02	5.554072e+01
1500         	celling	1.744476e+00	7.262409e+01	4.343612e+01
1500         	floor	3.102912e+00	3.098436e+03	2.268678e+02
1500         	side	2.750494e-01	1.042883e+03	2.892341e+01
1500         	body	3.746081e+00	4.462735e+02	8.709075e+01
1500         	head	1.435368e+00	1.115813e+02	5.789441e+01
1500         	leg	2.071980e+00	1.272213e+02	2.911912e+01
1500         	slant	5.894129e+00	3.919518e+02	5.519134e+01
2000         	celling	2.039778e+00	7.245439e+01	4.366431e+01
2000         	floor	3.100827e+00	3.096949e+03	2.268686e+02
2000         	side	8.992324e-02	1.046873e+03	2.889676e+01
2000         	body	4.805098e+00	4.426424e+02	8.710066e+01
2000         	head	1.413501e+00	1.116045e+02	5.789524e+01
2000         	leg	2.052782e+00	1.319062e+02	2.926162e+01
2000         	slant	5.862000e+00	3.901789e+02	5.517971e+01
