1. DATA No.,,
,FC_BS***,
,"(Released February 10, 1994: Revised March 1, 1995 and March 1, 1996)",

2. KEY WORD,,
,"Turbulent Separated Flow, Backward Facing Step, Reattachment, Channel Flow, Particle Tracking Velocimeter, Turbulence Statistics",

3. DATA TAKERS AND ARTICLE TITLE,,

3.1,,
,a.,"N. Kasagi, A. Matsunaga and S. Kawara"
,b.,"Dept. of Mech. Eng., The University of Tokyo, Hongo 7-3-1, Bunkyo-ku, Tokyo 113"
,c. ,Turbulence measurement in a separated and reattaching flow over a backward-facing step with the aid of three-dimensional particle tracking velocimetry
,d.,Journal of Wind Engineering and Industrial Aerodynamics
,e.,"Vol. 46 & 47, 1993, pp. 821-829."

3.2,,
,a.,N. Kasagi and A. Matsunaga
,b.,"Dept. of Mech. Eng., The University of Tokyo, Hongo 7-3-1, Bunkyo-ku, Tokyo 113"
,c. ,Three-dimensional particle-tracking velocimetry measurement of turbulence statistics and energy budget in a backward-facing step flow
,d.,International Journal of Heat & Fluid Flow
,e.,"Vol. 16, No. 6, 1995, pp. 477-485."



4. ABSTRACT,,

,"With a three-dimensional particle tracking velocimeter, detailed turbulent flow measurement was made in a plane channel with a one-sided 50% abrupt expansion, which acted as a backward-facing step.  The plane channel flow reached a fully developed state w",

5. INSTRUMENTATION,,

,"The measurement was made in the recirculating water channel at the Department of Mechanical Engineering, the University of Tokyo (see, Nishino and Kasagi, 1989).  This water channel has  a rectangular duct which is 80 mm x 800 mm in its cross section and ",

6. EXPERIMENTAL PARAMETERS,,,

,*** Test conditions ***,,
,Re_s =  Uc H / nu = 5541: Reynolds number based on the upstream centerline velocity and the step height,,
,H = 41.0  (mm): Step height,,
,Du = 81.3  (mm): Upstream channel width,,
,Dd = 122.3  (mm): Downstream channel width,,
,Dd/Du = 1.504 : Expansion ratio,,
,A = 20 : Step aspect ratio,,
,"Measurement region: -2.0 < x/H < 12.0, 0.0 < y/H < 3.0,  -2.0 < z/H < 2.0",,

7. MEASURED VARIABLES,,,

,N,=,number of vectors measured at a local minute region of (x = 0.049H) x (y = 0.024H )
,x,=,streamwise distance from the step
,x_r,=,mean reattaching length
,y ,=,normal distance from the bottom wall
,z,=,spanwise distance from the duct center
,U,=,mean streamwise velocity
,Uc,=,mean streamwise centerline velocity upstream of the step
,u_tau,=,friction velocity
,V,=,mean wall-noraml velocity
,W,=,mean spanwise velocity
,u_rms,=,root-mean-square streamwise velocity fluctuation
,v_rms,=,root-mean-square wall-normal velocity fluctuation
,w_rms,=,root-mean-square spanwise velocity fluctuation
,"-<uv>,-<uw>,-<vw>",=,Reynolds shear stress
,"<uuu>, <uuv>, <uuw>, <uvv>, <uvw>, <uww>, <vvv>, <vvw>, <vww>, <www>",=,triple product

8. MEASUREMENT UNCERTAINTY,,,

,"The measurement uncertainties associated with the 3-D PTV is referred to Nishino et al. (1989).  When the data are plotted, their scatter gives a reasonable estimate for the uncertainty interval.",,,

9. DATA,,,,

i) Upstream of the step,,,,
MEANU.DAT,,,,
y/H,N,U/Uc,V/Uc,W/Uc
9.60E-03,378,2.07E-01,2.28E-03,-8.13E-03
1.92E-02,3732,2.31E-01,9.08E-04,-9.05E-03
3.07E-02,4885,3.64E-01,7.37E-04,-1.18E-02
4.28E-02,4912,4.77E-01,8.15E-04,-1.33E-02
5.52E-02,5227,5.55E-01,1.22E-03,-1.38E-02
6.74E-02,5419,6.11E-01,9.20E-04,-1.53E-02
7.96E-02,5347,6.56E-01,9.48E-04,-1.48E-02
9.18E-02,5005,6.84E-01,1.83E-03,-1.67E-02
1.04E-01,5099,7.07E-01,6.58E-04,-1.44E-02
1.16E-01,5352,7.28E-01,1.07E-03,-1.47E-02
1.29E-01,5298,7.42E-01,-5.06E-04,-1.52E-02
1.41E-01,5145,7.53E-01,5.52E-04,-1.57E-02
1.53E-01,5050,7.66E-01,-3.86E-04,-1.56E-02
1.65E-01,5105,7.73E-01,9.02E-04,-1.71E-02
1.78E-01,5119,7.84E-01,4.38E-04,-1.73E-02
1.90E-01,5125,7.92E-01,1.47E-03,-1.44E-02
2.02E-01,5255,7.96E-01,1.44E-03,-1.48E-02
2.14E-01,5101,8.05E-01,5.70E-04,-1.69E-02
2.26E-01,5139,8.12E-01,2.10E-03,-1.48E-02
2.39E-01,5166,8.20E-01,2.18E-04,-1.62E-02
2.51E-01,5227,8.26E-01,1.59E-03,-1.46E-02
2.63E-01,5397,8.33E-01,9.59E-04,-1.58E-02
2.75E-01,5327,8.37E-01,6.31E-04,-1.48E-02
2.88E-01,5426,8.41E-01,2.58E-03,-1.26E-02
3.00E-01,5425,8.49E-01,1.88E-03,-1.35E-02
3.12E-01,5604,8.52E-01,2.89E-03,-1.35E-02
3.24E-01,5460,8.60E-01,1.75E-03,-1.47E-02
3.37E-01,5577,8.67E-01,1.23E-03,-1.35E-02
3.49E-01,5669,8.68E-01,8.05E-04,-1.46E-02
3.61E-01,5484,8.71E-01,1.71E-03,-1.43E-02
3.73E-01,5456,8.79E-01,2.41E-04,-1.50E-02
3.85E-01,5759,8.81E-01,2.81E-04,-1.33E-02
3.98E-01,5522,8.87E-01,-6.62E-04,-1.49E-02
4.10E-01,5643,8.92E-01,-3.09E-04,-1.28E-02
4.22E-01,5666,8.96E-01,1.09E-04,-1.23E-02
4.34E-01,5499,8.98E-01,-1.63E-03,-1.03E-02
4.47E-01,5687,9.00E-01,9.13E-05,-1.25E-02
4.59E-01,5324,9.04E-01,4.68E-04,-1.04E-02
4.71E-01,5447,9.11E-01,-4.67E-04,-1.42E-02
4.83E-01,5459,9.16E-01,-2.63E-04,-1.40E-02
4.96E-01,5481,9.17E-01,1.34E-03,-1.04E-02
5.08E-01,5537,9.20E-01,-1.95E-04,-1.27E-02
5.20E-01,5395,9.26E-01,-5.80E-05,-1.21E-02
