# Residuals  
# Time       	p            	Ux           	Uy           	k            	epsilon      
1            	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.492780e-01
2            	8.319920e-02	3.433420e-01	4.649370e-01	7.963780e-01	8.552550e-01
3            	1.779500e-01	1.725610e-01	2.651120e-01	6.182550e-01	6.478620e-01
4            	8.750950e-02	1.092370e-01	1.168630e-01	3.772160e-01	4.212320e-01
5            	8.352550e-02	8.918410e-02	1.057330e-01	2.362870e-01	2.015080e-01
6            	6.892630e-02	7.355230e-02	1.114370e-01	1.557530e-01	8.631760e-02
7            	6.185910e-02	6.072620e-02	1.118230e-01	1.126990e-01	4.626750e-02
8            	5.526870e-02	5.079310e-02	1.061310e-01	8.732350e-02	2.936230e-02
9            	4.740440e-02	4.321700e-02	9.540990e-02	7.312270e-02	2.158870e-02
10           	3.952850e-02	3.752340e-02	8.424850e-02	6.515590e-02	1.775370e-02
11           	3.289850e-02	3.324660e-02	7.456740e-02	6.127630e-02	1.654540e-02
12           	2.803230e-02	2.993280e-02	6.645450e-02	5.915530e-02	1.598060e-02
13           	2.489920e-02	2.717610e-02	5.923160e-02	5.791150e-02	1.579720e-02
14           	2.296030e-02	2.473250e-02	5.390610e-02	5.606880e-02	1.585040e-02
15           	2.154710e-02	2.257470e-02	5.036090e-02	5.385240e-02	1.499550e-02
16           	2.043840e-02	2.067930e-02	4.813730e-02	5.242550e-02	1.474450e-02
17           	1.955010e-02	1.904770e-02	4.669980e-02	5.129460e-02	1.466970e-02
18           	1.872340e-02	1.764690e-02	4.585640e-02	5.014130e-02	1.464030e-02
19           	1.801540e-02	1.643000e-02	4.546760e-02	4.881740e-02	1.461990e-02
20           	1.743100e-02	1.537820e-02	4.521880e-02	4.728430e-02	1.457080e-02
21           	1.718720e-02	1.448940e-02	4.502740e-02	4.553560e-02	1.448750e-02
22           	1.619000e-02	1.368090e-02	4.593930e-02	4.369320e-02	1.454460e-02
23           	1.565290e-02	1.292210e-02	4.622920e-02	4.161390e-02	1.448120e-02
24           	1.482760e-02	1.232900e-02	4.517770e-02	3.935700e-02	1.428260e-02
25           	1.415050e-02	1.184750e-02	4.477470e-02	3.693920e-02	1.385050e-02
26           	1.345870e-02	1.145260e-02	4.465410e-02	3.430730e-02	1.296030e-02
27           	1.265620e-02	1.111180e-02	4.470130e-02	3.195550e-02	1.235490e-02
28           	1.205790e-02	1.080010e-02	4.488330e-02	3.006420e-02	1.197270e-02
29           	1.149340e-02	1.054860e-02	4.472480e-02	2.816680e-02	1.145910e-02
30           	1.093020e-02	1.030500e-02	4.459080e-02	2.646660e-02	1.086120e-02
31           	1.040120e-02	1.009070e-02	4.443340e-02	2.495200e-02	1.030130e-02
32           	9.966570e-03	9.912190e-03	4.437880e-02	2.362540e-02	9.806150e-03
33           	9.504010e-03	9.782670e-03	4.441950e-02	2.250130e-02	9.400220e-03
34           	8.995860e-03	9.659910e-03	4.451160e-02	2.154840e-02	9.077900e-03
35           	8.509560e-03	9.512010e-03	4.445900e-02	2.071440e-02	8.768540e-03
36           	7.989370e-03	9.324470e-03	4.418220e-02	1.995390e-02	8.473800e-03
37           	7.501090e-03	9.092940e-03	4.358400e-02	1.925160e-02	8.155280e-03
38           	7.025090e-03	8.824610e-03	4.273970e-02	1.858440e-02	7.834850e-03
39           	6.563700e-03	8.533610e-03	4.181790e-02	1.792900e-02	7.501000e-03
40           	6.154190e-03	8.238590e-03	4.069990e-02	1.726910e-02	7.154640e-03
41           	5.752730e-03	7.931630e-03	3.948240e-02	1.660170e-02	6.781870e-03
42           	5.416250e-03	7.621130e-03	3.820880e-02	1.593530e-02	6.404460e-03
43           	5.099470e-03	7.303970e-03	3.682890e-02	1.526870e-02	6.021520e-03
44           	4.776830e-03	6.979330e-03	3.532990e-02	1.459580e-02	5.641050e-03
45           	4.452650e-03	6.640450e-03	3.370820e-02	1.391390e-02	5.270340e-03
46           	4.149360e-03	6.284570e-03	3.200070e-02	1.322210e-02	4.909190e-03
47           	3.853840e-03	5.918110e-03	3.030800e-02	1.252130e-02	4.559550e-03
48           	3.560180e-03	5.545750e-03	2.864790e-02	1.180730e-02	4.230620e-03
49           	3.289950e-03	5.167830e-03	2.700120e-02	1.108470e-02	3.917970e-03
50           	3.032590e-03	4.787170e-03	2.539120e-02	1.035200e-02	3.620270e-03
51           	2.779330e-03	4.410350e-03	2.375840e-02	9.615550e-03	3.334540e-03
52           	2.554970e-03	4.046020e-03	2.205270e-02	8.885230e-03	3.062700e-03
53           	2.344920e-03	3.701060e-03	2.031630e-02	8.169750e-03	2.809220e-03
54           	2.162700e-03	3.384500e-03	1.858230e-02	7.483220e-03	2.574870e-03
55           	2.011500e-03	3.096390e-03	1.687090e-02	6.840600e-03	2.357280e-03
56           	1.874990e-03	2.838870e-03	1.519780e-02	6.251850e-03	2.157740e-03
57           	1.746620e-03	2.609290e-03	1.362420e-02	5.726810e-03	1.977160e-03
58           	1.622930e-03	2.409540e-03	1.217380e-02	5.274600e-03	1.816030e-03
59           	1.508610e-03	2.243500e-03	1.085260e-02	4.898430e-03	1.675110e-03
60           	1.389080e-03	2.108220e-03	9.671550e-03	4.600400e-03	1.550130e-03
61           	1.269840e-03	1.980400e-03	8.683870e-03	4.372950e-03	1.436710e-03
62           	1.148690e-03	1.849500e-03	7.877980e-03	4.198510e-03	1.326930e-03
63           	1.027250e-03	1.717810e-03	7.228220e-03	4.009060e-03	1.214130e-03
64           	9.157330e-04	1.583050e-03	6.703980e-03	3.758460e-03	1.100760e-03
65           	8.138730e-04	1.443610e-03	6.267510e-03	3.460370e-03	9.890690e-04
66           	7.252220e-04	1.302250e-03	5.895500e-03	3.132950e-03	8.811630e-04
67           	6.463130e-04	1.164560e-03	5.531430e-03	2.791900e-03	7.796650e-04
68           	5.788860e-04	1.033390e-03	5.119230e-03	2.452330e-03	6.860760e-04
69           	5.243290e-04	9.118330e-04	4.658890e-03	2.128440e-03	6.020840e-04
70           	4.803920e-04	8.016040e-04	4.183730e-03	1.832320e-03	5.281470e-04
71           	4.417810e-04	7.041090e-04	3.720650e-03	1.571580e-03	4.648700e-04
72           	4.055390e-04	6.201970e-04	3.282040e-03	1.351360e-03	4.121000e-04
73           	3.735210e-04	5.503720e-04	2.883750e-03	1.173250e-03	3.693800e-04
74           	3.429760e-04	4.936740e-04	2.539370e-03	1.036230e-03	3.346770e-04
75           	3.130360e-04	4.494980e-04	2.248950e-03	9.368630e-04	3.062440e-04
76           	2.850680e-04	4.149810e-04	2.007580e-03	8.697240e-04	2.821360e-04
77           	2.593060e-04	3.826400e-04	1.814300e-03	8.258260e-04	2.602090e-04
78           	2.346160e-04	3.518620e-04	1.660950e-03	7.828210e-04	2.380490e-04
79           	2.117750e-04	3.218600e-04	1.536900e-03	7.277200e-04	2.159040e-04
80           	1.908380e-04	2.913250e-04	1.433880e-03	6.644800e-04	1.942910e-04
81           	1.713120e-04	2.606910e-04	1.340070e-03	5.972740e-04	1.737410e-04
82           	1.540710e-04	2.308240e-04	1.240290e-03	5.297040e-04	1.547730e-04
83           	1.399570e-04	2.029310e-04	1.128360e-03	4.645350e-04	1.375650e-04
84           	1.275100e-04	1.775740e-04	1.016040e-03	4.042310e-04	1.225400e-04
85           	1.154800e-04	1.555170e-04	9.017280e-04	3.504130e-04	1.095720e-04
